timestamp,cpu_usage,ram_usage,disk_usage,net_sent,net_recv,process_count,uptime_seconds,label
2026-03-03 21:13:20.754552,5.4,85.1,14.8,6225845,16812705,340,1127907.954627514,1
2026-03-03 21:13:25.769270,8.0,85.2,14.8,6225845,16812705,340,1127912.972174883,1
2026-03-03 21:13:30.786246,2.2,85.2,14.8,6225845,16812705,339,1127917.9909024239,1
2026-03-03 21:13:35.804828,18.4,85.3,14.8,6225845,16812705,341,1127923.0078289509,1
2026-03-03 21:13:40.821889,10.8,85.3,14.8,6225845,16812705,342,1127928.0236570835,1
2026-03-03 21:13:45.839181,1.7,85.3,14.8,6225845,16812705,342,1127933.043596983,1
2026-03-03 21:13:50.860278,2.1,85.1,14.8,6225845,16812705,342,1127938.0618195534,1
2026-03-03 21:13:55.875610,1.6,85.1,14.8,6225845,16812705,342,1127943.0771758556,1
2026-03-03 21:14:00.894402,12.8,85.0,14.8,6225845,16812705,342,1127948.0987234116,0
2026-03-03 21:14:05.912885,2.3,84.6,14.8,6225845,16812705,339,1127953.1151952744,0
2026-03-03 21:14:10.930446,1.6,84.7,14.8,6225845,16812705,339,1127958.134622097,0
2026-03-03 21:14:15.949525,1.7,84.8,14.8,6225845,16812705,339,1127963.1522500515,0
2026-03-03 21:14:20.968361,5.9,84.8,14.8,6225845,16812705,341,1127968.1709151268,0
2026-03-03 21:14:25.986060,15.2,85.8,14.8,6225845,16812705,343,1127973.2014536858,1
2026-03-03 21:14:31.016525,11.3,87.4,14.8,6225845,16812705,343,1127978.2195589542,1
2026-03-03 21:14:36.033942,7.5,87.3,14.8,6225845,16812705,342,1127983.2360339165,1
2026-03-03 21:14:41.050168,2.0,86.8,14.8,6225845,16812705,342,1127988.2526304722,1
2026-03-03 21:14:46.066737,5.7,86.8,14.8,6225845,16812705,342,1127993.2732708454,1
2026-03-03 21:14:51.090037,6.8,86.8,14.8,6225845,16812705,342,1127998.2941031456,1
2026-03-03 21:14:56.108757,2.8,86.8,14.8,6225845,16812705,342,1128003.307532072,1
2026-03-03 21:15:01.121681,2.6,86.7,14.8,6225845,16812705,339,1128008.3241894245,1
2026-03-03 21:15:06.139450,2.8,86.4,14.8,6225845,16812705,339,1128013.3350601196,1
2026-03-03 21:15:11.148938,2.4,86.4,14.8,6225845,16812705,338,1128018.372285366,1
